Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:     -1, rd_minus:   3230, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4130, rd_minus:   6810, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4779 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4310, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4780 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2508, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4781 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7812, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4782 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3106, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4783 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5064, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4784 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  18032, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4785 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  10270, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4786 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5840, rd_minus:   7112, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4787 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7260, rd_minus:   6906, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4788 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3930, rd_minus:   3910, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4789 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5538, rd_minus:   6068, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4790 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3324, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4791 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7030, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4792 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9134, rd_minus:  10452, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4793 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  19002, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4794 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9404, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4795 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  21686, rd_minus:  19558, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4796 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13664, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4797 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2188, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4798 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10194, rd_minus:  11052, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4799 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   7458, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4800 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8844, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4801 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5832, rd_minus:   4856, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4802 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5032, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4803 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6172, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4804 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4276, rd_minus:   4046, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4805 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4952, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4806 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11156, rd_minus:  17440, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4807 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  13500, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4808 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   8020, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4809 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11424, rd_minus:  17326, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4810 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  20546, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4811 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8648, rd_minus:   8714, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4812 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11100, rd_minus:  11080, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4813 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5130, rd_minus:   5206, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4814 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4808, rd_minus:   5468, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4815 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  19844, rd_minus:  20690, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4816 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4372, rd_minus:   4400, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4817 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5520, rd_minus:   5116, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4818 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  23050, rd_minus:  19144, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4819 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8428, rd_minus:   7196, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4820 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    988, rd_minus:    886, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4821 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1910, rd_minus:   1956, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4822 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16050, rd_minus:  15676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4823 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4232, rd_minus:   3772, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4824 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2986, rd_minus:   2938, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4825 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7490, rd_minus:   7688, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4826 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  18316, rd_minus:  16364, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4827 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1552, rd_minus:   1330, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4828 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6326, rd_minus:   5116, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4829 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3368, rd_minus:   4744, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4830 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15414, rd_minus:  17132, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4831 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    310, rd_minus:    226, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4832 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    532, rd_minus:   1040, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4833 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9484, rd_minus:   9490, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4834 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16166, rd_minus:  19128, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4835 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15276, rd_minus:  13714, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4836 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3720, rd_minus:   3142, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4837 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3726, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4838 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2262, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4839 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2200, rd_minus:   2202, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4840 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5914, rd_minus:   5318, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4841 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3316, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4842 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6642, rd_minus:   7346, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4843 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9002, rd_minus:   8162, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4844 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     54, rd_minus:     54, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4845 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     62, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4846 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5656, rd_minus:   6720, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4847 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4634, rd_minus:   4506, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4848 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8264, rd_minus:   9204, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4849 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3524, rd_minus:   3466, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4850 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6172, rd_minus:   6448, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4851 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10070, rd_minus:   9846, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4852 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8576, rd_minus:   9494, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4853 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  18126, rd_minus:  18216, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4854 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  22368, rd_minus:  22490, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4855 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9926, rd_minus:   8966, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4856 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20370, rd_minus:  18206, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4857 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  30480, rd_minus:  30518, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4858 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7694, rd_minus:   7544, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4859 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3100, rd_minus:   2740, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4860 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2508, rd_minus:   3348, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4861 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  23028, rd_minus:  26372, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4862 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14566, rd_minus:  15820, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4863 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3752, rd_minus:   3778, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4864 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2976, rd_minus:   2892, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4865 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5784, rd_minus:   6868, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4866 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3990, rd_minus:   3990, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4867 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4174, rd_minus:   4094, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4868 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  19450, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4869 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3912, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4870 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7442, rd_minus:   7940, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4871 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4922, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4872 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4930, rd_minus:   4952, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4873 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3912, rd_minus:   3882, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4874 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13114, rd_minus:  12094, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4875 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11100, rd_minus:  10926, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4876 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4182, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4877 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7400, rd_minus:   7138, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4878 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1612, rd_minus:   2304, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4879 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1748, rd_minus:   1652, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4880 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    544, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4881 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  17986, rd_minus:  17216, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4882 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    888, rd_minus:    868, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4883 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  24322, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4884 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    398, rd_minus:    416, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4885 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    128, rd_minus:    116, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4886 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     90, rd_minus:     90, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4887 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7288, rd_minus:   7840, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4888 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3104, rd_minus:   2468, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4889 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1496, rd_minus:   1522, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4890 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6348, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4891 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8924, rd_minus:   9054, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4892 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6050, rd_minus:   6332, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4893 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus: 103846, rd_minus:  97668, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4894 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15998, rd_minus:  14556, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4895 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7960, rd_minus:   8050, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4896 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14758, rd_minus:  15066, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4897 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3468, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4898 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3744, rd_minus:   3758, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4899 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4010, rd_minus:   4108, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4900 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4990, rd_minus:   5054, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4901 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3680, rd_minus:   3642, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4902 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4564, rd_minus:   4834, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4903 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5684, rd_minus:   5636, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4904 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3736, rd_minus:   5844, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4905 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    348, rd_minus:    380, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4906 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    758, rd_minus:   1014, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4907 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    522, rd_minus:    496, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4908 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7002, rd_minus:   6356, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4909 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  22972, rd_minus:  22306, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4910 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    994, rd_minus:   1020, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4911 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    482, rd_minus:    482, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4912 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  19104, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4913 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9174, rd_minus:  10202, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4914 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7646, rd_minus:   6502, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4915 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  27278, rd_minus:  29304, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4916 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  24812, rd_minus:  24194, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4917 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7848, rd_minus:   7764, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4918 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15746, rd_minus:  19200, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4919 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  29224, rd_minus:  28742, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4920 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4064, rd_minus:   4336, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4921 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2850, rd_minus:   2686, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4922 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5238, rd_minus:   4820, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4923 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20212, rd_minus:  17788, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4924 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10014, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4925 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4110, rd_minus:   4230, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4926 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3166, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4927 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6002, rd_minus:   6164, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4928 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9920, rd_minus:   9606, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4929 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6274, rd_minus:   6888, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4930 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5452, rd_minus:   5924, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4931 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10520, rd_minus:  10392, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4932 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6924, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4933 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5500, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4934 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4104, rd_minus:   4716, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4935 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9056, rd_minus:   9112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4936 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3402, rd_minus:   3244, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 4937 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4058, rd_minus:   4554, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 4938 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4060, rd_minus:   3432, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 4939 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3192, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4940 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5412, rd_minus:   5120, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4941 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6234, rd_minus:   6326, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4942 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9306, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 4943 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    312, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4944 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    662, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4945 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3848, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 4946 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6956, rd_minus:   6788, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 4947 / 83886104, payload_bits 83886080, end_bits 24
